comment_text,hdb_labels
"Trump's America: *7M cases*
Biden: 200K people have already died under his rule!

Biden's America: *30M CASES+500K deaths*
Biden: Well sometimes we fall and rise again",-1.0
Wow Joes laugh makes me cringe 😬,117.0
"Dang hate to say it,  Trump seems sharp compared to Biden recently",-1.0
"HEY BIDEN, I HAVE A FEELING YOU WERE IN ON THE SCANDAL IN NEW YORK  TO MAKE TRUMP LOOK BAD, MAKE MORE DEATHS ON HIS WATCH!!!",-1.0
FAKE BRIDEN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! LOOK WHAT HE IS DOING TO AMERICA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-1.0
Why is there NOT a panel of questionnaires? America 🇺🇸 is to only listen & view 1 persons questions?!? Really???,-1.0
I just watched bidens first news press conference and then thought I'd stop by here again since it's so hilarious,-1.0
"No no no, Mr. President--- ""THREE AND A HALF MILLYON JOE""",-1.0
Manchurian Candidate won! Yay pedophiles and deep state tax leeches rejoice!,-1.0
Lol karma is hilarious,-1.0
44:44 lol,304.0
Khff,-1.0
My teacher is making me watch this and the vice presidential debate as well for an assignment.. I hate politics... Fxkin p**ck can kiss my a**..,-1.0
"B.e.S.T f'u'l'l D.a.T.i.n.G
—L—o—V——S—e—X———۞———
hotslut.live/233nudebrunetteasianxxx



在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。
說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木
來調味食物煮的時候##",-1.0
"WATCH MORE VIDEO F.U.L.L H.D 
 💓 CLICK HERE : hotslut.live/massagemasturbationgirl579xxx

!❤️ 在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。
說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木
來調味食物煮的時候$$",-1.0
"When a presidential debate becomes an Xbox live voice chat. 


This isn’t original I just saw it a while ago and thought it was funny but I can’t find it now so I just put it here.",-1.0
"I love watching trump 🇺🇸🇺🇸😀😀

MAGA",-1.0
have to say I would have voted for a house cat versus Trump in another election......,-1.0
Starting at approx. 50:00 Trump was right 100%,-1.0
The Worst Debate Ever...,155.0
This moderator is horrible.,97.0
...um... Trump... Water isn't cheap....,-1.0
can anyone explain what the thing is moving around in bidens sleeve @ 57:18 ?,327.0
"Yes, I am alive. And i voted republican. MaTh Is RaCiSt BeKaUsEE BlaKs KanT Do It riGhT - Joe biden",-1.0
@57:18 whats that in his sleeve,-1.0
"Will you shut up man.

That how biden won it",-1.0
Old Captain America vs Annoying Orange,-1.0
What’s in bidens sleeve at 57 minutes?,327.0
57:20 - whats up Bidens Sleeve?,327.0
57:19 what's that weird thing that popped out of bidens cuff? strange!,327.0
This is a Presidential debate..... And I'm batman,-1.0
when you and your friend get in a fight and how they act for 2 days until they make up,-1.0
BAMILY!!!!! @ 57:19💥,-1.0
"Look at Biden face when he says that ANTIFA is just an idea. I believe he believe that. They have him under the impression. Least I think. He’s just a puppet for them. We have to stop this man. You Google Antifa and it goes straight to the White House. 

No bullshit. Do it try and see for yourself. 
We are all screwed now. 
Got to stop this all. Keep the walls and what’s funny is Biden said he wouldn’t let another inch of the wall up. BUT HES NOW LIVING IN A PLACE THATS FENCED IN. BARB WIRES. WTF? 
Someone adopt me from Italy please!!!",306.0
"Impeach Biden. He’s destroying America. The cartel are here. Children being sent to the Dallas Convention Center 
No vaccines for them yet that I’ve heard. Children are taking turns sleeping on the floor. What’s going on with the Dem Party? Wake the heck up now!!!!!!",-1.0
"There has been cheating and Fraud on all and both sides, the issue is all if these newer ways to vote mail in, early voting. Absentee, Social Election, Overseas, Drop Off, so much easier for cheating to occur and a lot harder to distinguish cheating going on as well. It's inly going to get worse in 2024.",-1.0
i dont know man but this shit is funny😂,-1.0
"The spiffy burn intrahepatically surprise because heat intermittently squash aboard a rampant form. joyous, smart nickel",35.0
57:18 What kind of technology has Biden under sleeve? O_o,327.0
Trump won.,245.0
종족의 씨을제거한다ㅡok,302.0
유엔도중립토록하세요,-1.0
The  korea war  디비진다 ㆍ미국은중립토록 하시오ㆍok,-1.0
"BOA TARDE
TODOS OS COMENTARIOS A FAVOR DO TRUMP ESTA SENDO BLOQUEADO
QUE FALTA DE RESPEITO COM AS PESSOAS QUE VOTOU NO TRUMP
EU SOU IMIGRANTE  E AMO O TRUM
NO MEU PAIS OS  DEMOCRATAS DESTRUIU TUDO
FORAM MAIS DE 75 MILHOES DE PESSOAS QUE VOTOU NO TRUMP
ISSO TEM QUE SERRESPEITAO
AMOS DONALD TRUMP E RESPEITAMOS AS OPINIOES AO CONTRARIO
MAS NOSSAS OPINIOES TAMBEM TEM QUE SER RESPEITADO
AMERICA ACIMA DE TUDO
IRMAOS
DONALD TRUMP PARA SEMPRE",-1.0
"He didnt answer the question, still idiots voted for him and now were all paying at the Gas pumps. Chris Wallace even still has a slot on sunday. Just showing sometimes people need to retire. Government doesnt need to run our lives and let dead people,, Dictate! And he read off the feed!",-1.0
I can see now why some have said Joe did a bad job at moderating the Chris-Trump debate,-1.0
"The Bestest Debate that I've ever heard. The best of the Best Bravo. Love, Francesca",-1.0
Trump sucks... so glad he was voted out of office,-1.0
American Nationalism VS Marxist Communism.,-1.0
"I say Trump is better

anytime joe said something 
Trump would say something about it 
and joe would resay it completely different 
just saying",-1.0
𝗡𝗼𝗯𝗼𝗱𝘆 𝗶𝘀 𝗣𝗲𝗿𝗳𝗲𝗰𝘁..!!!,-1.0
"The scary newsprint largely pop because pharmacist summarily disarm qua a null throat. barbarous, undesirable trip",35.0
"The kaput wire impressively blush because turkish markedly dry including a deeply handicap. unwieldy, unwritten candle",35.0
"Trump won this debate and the election, but they stole it!",-1.0
Bernie would've killed Trump,118.0
So what you're telling me is I have to be a Karen to be a millionaire to be a president,-1.0
Madea should've done  been the moderator 😂😂,-1.0
1:15:20 PLS,-1.0
"I fell asleep rewatching this and when I was semi awoken by people arguing over each other, my brain literally thought I was listening to an episode of The View.",-1.0
BIDEN 2020!!!!,344.0
I I’m not here to converse for Lisa  but to testify what I’m sure about I I'm my husband earn $13000 this week.,-1.0
"That little lady in baby pink and jet black looks so beautiful. Love, Miss Ma.",-1.0
44:45 Will you shut up man!,291.0
USA 🤭 🤭🤭🤭,-1.0
If you listen carefully the crowd laughs at exactly 45:00,-1.0
Trump is right about everything 💯,-1.0
TRUMP took down ISIS..............BIDEN took down mister potatoe head and doctor suess # tsk tsk,-1.0
Trump is a liar and he is very unpresidantial.,251.0
56:26 lol,-1.0
lol colby at the start,187.0
"Honestly Trump did way better with Hilary, with this kinda debate he deserved to loose.",113.0
50:20 I saw a time link so I’m gonna press it watch my time for me,-1.0
Biden sleeve worm at 57:17,-1.0
"When Trump and the moterator are arguing, and Biden is just sitting there, it's like watching your friend and their mom arguing",-1.0
