comment_text	hdb_labels
Trump's America: *7M cases* Biden: 200K people have already died under his rule!  Biden's America: *30M CASES+500K deaths* Biden: Well sometimes we fall and rise again	-1
Wow Joes laugh makes me cringe 😬	104
Dang hate to say it,  Trump seems sharp compared to Biden recently	-1
HEY BIDEN, I HAVE A FEELING YOU WERE IN ON THE SCANDAL IN NEW YORK  TO MAKE TRUMP LOOK BAD, MAKE MORE DEATHS ON HIS WATCH!!!	-1
FAKE BRIDEN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! LOOK WHAT HE IS DOING TO AMERICA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	-1
Why is there NOT a panel of questionnaires? America 🇺🇸 is to only listen & view 1 persons questions?!? Really???	-1
I just watched bidens first news press conference and then thought I'd stop by here again since it's so hilarious	-1
"No no no, Mr. President--- ""THREE AND A HALF MILLYON JOE"""	-1
Manchurian Candidate won! Yay pedophiles and deep state tax leeches rejoice!	-1
Lol karma is hilarious	-1
44:44 lol	300
Khff	-1
My teacher is making me watch this and the vice presidential debate as well for an assignment.. I hate politics... Fxkin p**ck can kiss my a**..	-1
B.e.S.T f'u'l'l D.a.T.i.n.G —L—o—V——S—e—X———۞——— hotslut.live/233nudebrunetteasianxxx    在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木 來調味食物煮的時候##	-1
WATCH MORE VIDEO F.U.L.L H.D   💓 CLICK HERE : hotslut.live/massagemasturbationgirl579xxx  !❤️ 在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木 來調味食物煮的時候$$	-1
When a presidential debate becomes an Xbox live voice chat.    This isn’t original I just saw it a while ago and thought it was funny but I can’t find it now so I just put it here.	-1
I love watching trump 🇺🇸🇺🇸😀😀  MAGA	-1
have to say I would have voted for a house cat versus Trump in another election......	-1
Starting at approx. 50:00 Trump was right 100%	-1
The Worst Debate Ever...	124
This moderator is horrible.	132
...um... Trump... Water isn't cheap....	-1
can anyone explain what the thing is moving around in bidens sleeve @ 57:18 ?	-1
Yes, I am alive. And i voted republican. MaTh Is RaCiSt BeKaUsEE BlaKs KanT Do It riGhT - Joe biden	-1
@57:18 whats that in his sleeve	-1
Will you shut up man.  That how biden won it	-1
Old Captain America vs Annoying Orange	11
What’s in bidens sleeve at 57 minutes?	327
57:20 - whats up Bidens Sleeve?	-1
57:19 what's that weird thing that popped out of bidens cuff? strange!	327
This is a Presidential debate..... And I'm batman	-1
when you and your friend get in a fight and how they act for 2 days until they make up	-1
BAMILY!!!!! @ 57:19💥	-1
